,ZipCode,TotalHousingUnits,OccupiedHousingUnits,VacantHousingUnits,OwnerOccupied,RenterOccupied,OwnerOccupiedHouseholdSize,RenterOccupiedHouseholdSize,VehiclesAvailable,NoVehiclesAvailable,WithMortgage,WithoutMortgage
310,01531,446,430,16,359,71,2.56,1.89,430,14,222,137
311,01532,5823,5662,161,4696,966,2.82,2.24,5662,183,3593,1103
312,01534,2510,2367,143,1917,450,2.65,2.08,2367,141,1438,479
313,01535,2058,1883,175,1307,576,2.72,2.07,1883,34,839,468
314,01536,3055,2914,141,2208,706,2.54,1.81,2914,300,1649,559
315,01537,837,781,56,532,249,2.58,1.59,781,17,405,127
316,01540,4336,3988,348,3338,650,3.11,1.69,3988,168,2748,590
317,01541,1369,1298,71,1229,69,2.71,1.93,1298,16,776,453
318,01542,1038,992,46,878,114,2.67,2.36,992,13,692,186
319,01543,3344,3052,292,2605,447,3.11,1.93,3052,127,2023,582
320,01545,14723,13808,915,10358,3450,2.95,2.19,13808,596,7289,3069
321,01550,7652,7094,558,3270,3824,2.64,2.31,7094,1160,2121,1149
322,01560,1990,1902,88,1209,693,2.80,1.98,1902,59,1003,206
323,01561,66,17,49,17,0,4.06,-,17,0,17,0
324,01562,5782,5186,596,3331,1855,2.53,1.87,5186,480,2045,1286
325,01564,3301,3248,53,2866,382,2.46,2.10,3248,93,2082,784
326,01566,2967,2610,357,2303,307,2.55,2.03,2610,48,1520,783
327,01568,2788,2651,137,2365,286,3.00,2.43,2651,15,1671,694
328,01569,5698,5327,371,4396,931,2.76,1.90,5327,204,3157,1239
329,01570,8389,7414,975,4431,2983,2.45,2.17,7414,749,3153,1278
330,01571,4320,4199,121,2800,1399,2.67,2.30,4199,467,2060,740
331,01581,8405,7980,425,4852,3128,2.86,2.20,7980,522,3208,1644
332,01583,2871,2784,87,2280,504,2.43,2.06,2784,116,1513,767
333,01585,2190,1968,222,1582,386,2.51,1.87,1968,96,1062,520
334,01588,4172,4005,167,2450,1555,2.81,2.07,4005,237,1908,542
335,01590,3396,3332,64,2915,417,2.83,2.28,3332,99,1863,1052
336,01602,11050,10527,523,6481,4046,2.55,2.12,10527,1116,4403,2078
337,01603,8105,7496,609,3635,3861,2.87,2.33,7496,1441,2584,1051
338,01604,18302,16869,1433,7403,9466,2.52,2.31,16869,2101,5411,1992
339,01605,12552,11626,926,3335,8291,2.64,2.47,11626,2108,2201,1134
340,01606,9793,9198,595,5995,3203,2.54,2.24,9198,669,4067,1928
341,01607,4202,3916,286,1426,2490,2.17,2.30,3916,761,1039,387
342,01608,2314,1945,369,147,1798,2.96,2.34,1945,442,87,60
343,01609,9194,8439,755,3547,4892,2.60,1.85,8439,1948,2204,1343
344,01610,9841,8866,975,1524,7342,2.37,2.32,8866,2785,886,638
345,01611,849,783,66,609,174,3.01,2.16,783,44,412,197
346,01612,1653,1588,65,1445,143,2.85,1.27,1588,28,1035,410
